net,length_um
busy_out,961.25µm
fsm_state\[0\],21.79µm
net1,19.7µm
net3,19.06µm
_04_,17.56µm
net2,16.94µm
internal_busy,16.82µm
start_in,13.52µm
clk_in,12.6µm
_00_,11.7µm
_01_,11.41µm
rst_in,10.76µm
_03_,10.13µm
out7,9.67µm
done_out,9.41µm
out6,8.99µm
rx_out,8.73µm
out8,7.37µm
out4,6.69µm
out5,6.69µm
_02_,6.23µm
net8,2.98µm
net10,2.98µm
net9,2.84µm
net4,2.64µm
net7,2.64µm
net5,2.04µm
net6,0.46µm
