net,length_um
busy_out,966.95µm
_00_,22.68µm
net1,19.46µm
_02_,18.66µm
_04_,16.76µm
net2,12.36µm
_03_,11.2µm
clk_in,10.76µm
rst_in,10.76µm
start_in,10.76µm
done_out,9.41µm
out7,9.21µm
internal_busy,9.16µm
out6,8.99µm
rx_out,8.73µm
_05_,8.38µm
net3,8.02µm
fsm_state\[0\],7.81µm
out8,7.37µm
out4,6.69µm
out5,6.69µm
_01_,6.37µm
net4,3.88µm
net7,2.84µm
net10,2.64µm
net5,2.04µm
net6,0.46µm
net8,0.46µm
net9,0.46µm
